#
#	Japanese NetHack Copyright (c) Issei Numata 2000
#	For 3.4, (c) Kentaro Shirakata 2003-2009
#	For UnNetHack 3.5 Copyright (c) Masaki Miyaso, 2009
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table
#
#	missiles
#
)arrow:			矢:
/cancellation:		無力化の杖:
/teleportation:		瞬間移動の杖:
/opening:		開錠の杖:
/locking:		施錠の杖:
/probing:		探査する杖:
/digging:		穴掘りの杖:
/magic missile:		矢の杖:
/fire:			炎の杖:
/cold:			吹雪の杖:
/sleep:			眠りの杖:
/death:			死の杖:
/lightning:		雷の杖:
#
/glass:		ガラスの杖:
/balsa:		バルサの杖:
/crystal:	水晶の杖:
/maple:		楓の杖:
/pine:		松の杖:
/oak:		樫の杖:
/ebony:		黒檀の杖:
/marble:	大理石の杖:
/tin:		ブリキの杖:
/brass:		真鍮の杖:
/copper:	銅の杖:
/silver:	銀の杖:
/platinum:	プラチナの杖:
/iridium:	イリジウムの杖:
/zinc:		亜鉛の杖:
/aluminum:	アルミニウムの杖:
/uranium:	ウラニウムの杖:
/iron:		鉄の杖:
/steel:		鋼鉄の杖:
/hexagonal:	六角形の杖:
/short:		短い杖:
/runed:		ルーン文字の書かれた杖:
/long:		長い杖:
/curved:	曲った杖:
/forked:	二叉の杖:
/spiked:	くさびの打ちつけられた杖:
/jeweled:	宝石が埋められた杖:
/black:		黒い杖:			#Slash
/ceramic:	陶器製の杖:		#Slash'em
/porcelain:	磁器製の杖:		#UnNetHack
/quartz:	石英の杖:		#UnNetHack
/bronze:	青銅の杖:		#Slash
/rusty:		さびついた杖:	#Slash
/octagonal:	八角形の杖:		#Slash
/bamboo:	竹の杖:			#Slash
/walnut:	クルミの杖:		#UnNetHack
/mahogany:	マホガニーの杖:	#UnNetHack
/cedar:		西洋スギの杖:	#UnNetHack
/chrome:	クロムの杖:		#UnNetHack
/titanium:	チタンの杖:		#UnNetHack
/nickel:	ニッケルの杖:	#UnNetHack
/mithril:	ミスリルの杖:	#UnNetHack
/grooved:	溝のある杖:		#UnNetHack
/bent:		曲げ木の杖:		#UnNetHack
/plastic:	樹脂製の杖:		#UnNetHack
/bone:		骨の杖:			#NetHack brass
/alabaster:	雪花石膏の杖:	#UnNetHack
/orichalcum:	オリハルコンの杖:	#UnNetHack
/electrum:	琥珀金の杖:	#UnNetHack
#
#	gold
#
$gold piece:	金貨:
#
#	gems & rocks
#
*dilithium crystal:	ディリジウムの結晶:
*white:		白い石:
*diamond:	ダイヤモンド:
*ruby:		ルビー:
*red:		赤い石:
*sapphire:	サファイア:
*blue:		青い石:
*emerald:	エメラルド:
*turquoise:	トルコ石:
*aquamarine:	アクアマリン:
*green:		緑の石:
*amber:		琥珀:
*yellowish brown:	茶褐色の石:
*topaz:		トパーズ:
*opal:		オパール:
*garnet:	ガーネット:
*amethyst:	アメジスト:
*violet:	紫の石:
*jasper:	ジャスパー:
*fluorite:	フルオライト:
*jade:		ひすい:
#
# jactinthは出エジプト記28章で黄水晶と訳されているが、
# citrineとかぶるので橙水晶
#
*jacinth:	橙水晶:
*orange:	橙色の石:
*black opal:	黒オパール:
*black:		黒い石:
*citrine:	黄水晶:
*yellow:	黄色い石:
*jet:		黒玉:
*chrysoberyl:	金緑石:
*obsidian:	黒燿石:
*agate:		めのう:
*worthless piece of white glass:	白いガラス:
*worthless piece of blue glass:		青いガラス:
*worthless piece of red glass:		赤いガラス:
*worthless piece of yellowish brown glass:	茶褐色のガラス:
*worthless piece of green glass:	緑のガラス:
*worthless piece of violet glass:	紫のガラス:
*worthless piece of orange glass:	橙色のガラス:
*worthless piece of black glass:	黒色のガラス:
*worthless piece of yellow glass:	黄色のガラス:
#
*luckstone:	幸せの石:
*gray:		灰色の宝石:
*loadstone:	重し:
*touchstone:	試金石:
*flint:		火打ち石:
*rock:		石:
#
#	miscellaneous
#
'boulder:		岩:
'statue:		像:
0heavy iron ball:	重い鉄球:
_iron chain:		鉄の鎖:
'blinding venom:	盲目の毒液:
'splash of venom:	毒液のしぶき:
'acid venom:		酸の毒液:
#
#	samurai's item
#
)wakizashi:	脇差し:
)ninja-to:	忍者刀:
)nunchaku:	ヌンチャク:
)naginata:	なぎなた:
)ya:		竹矢:
(osaku:		おさく:
(koto:		琴:
)shito:		刺刀:
]tanko:		短甲:
]kabuto:	兜:
]yugake:	弓懸:
%gunyoki:	丸薬:
%nori:		海苔:
!sake:		酒:
#
#	artifacts
#
AExcalibur:		エクスカリバー:
AStormbringer:		ストームブリンガー:
AMjollnir:		ミュルニール:
ACleaver:		クリーバー:
AGrimtooth:		グリムトゥース:
AOrcrist:		オークリスト:
ASting:			スティング:
AMagicbane:		マジックベーン:
AFrost Brand:		フロストブランド:
AFire Brand:		ファイアブランド:
ADragonbane:		ドラゴンベーン:
ADemonbane:		デーモンベーン:
AWerebane:		ウェアベーン:
AGrayswandir:		グレイスワンダー:
AGiantslayer:		ジャイアントスレイヤー:
AOgresmasher:		オーガスマッシャー:
ATrollsbane:		トロルスベーン:
AVorpal Blade:		ボーパルブレード:
ASnickersnee:		スニッカーズニー:
ASunsword:		サンソード:
AThiefbane:		シーフベーン:
# A
AThe Orb of Detection:		探索のオーブ:
# B
AThe Heart of Ahriman:		アーリマンの心臓:
# C
AThe Sceptre of Might:		権力の笏:
# H
AThe Staff of Aesculapius:	アスクレピオスの杖:
# K
AThe Magic Mirror of Merlin:	マーリンの魔法の鏡:
# Mon
AThe Eyes of the Overworld:	超世界の目:
# P
AThe Mitre of Holiness:		聖なる冠:
# Ran
AThe Longbow of Diana:		ダイアナの長弓:
# R
AThe Master Key of Thievery:	盗賊のマスターキー:
# S
AThe Tsurugi of Muramasa:	村正の刀:
# T
AThe Platinum Yendorian Express Card:	プラチナイェンダー印エクスプレスカード:
# V
AThe Orb of Fate:		運命のオーブ:
# W
AThe Eye of the Aethiopica:	エチオピアの目:
#
# name of dungeon
#
dSokoban:		倉庫番:
dThe Dungeons of Doom:	運命の大迷宮:
dThe Gnomish Mines:	ノームの鉱山:
dThe Quest:		クエスト:
dGehennom:		ゲヘナ:
dFort Ludios:		ローディオス砦:
dVlad's Tower:		ヴラド侯の塔:
dThe Elemental Planes:	精霊界:
#
# Symbols or other things name (this is not a object name (See: drawing.c))
#
Sremembered, unseen, creature:		覚えているが見えていない生物:
#
Sstrange object:			奇妙な物体:
Sweapon:				武器:
Ssuit or piece of armor:		服または鎧のたぐい:
Sring:					指輪:
Samulet:				魔除け:
Suseful item (pick-axe, key, lamp...):	便利な道具(つるはし、鍵、ランプ．．．):
Spiece of food:				食料:
Spotion:				薬:
Sscroll:				巻物:
Sspell book:				魔法の本:
Sspellbook:				魔法の本:
Swand:					杖:
Spile of coins:				金貨の山:
Sgem or rock:				宝石または石:
Sboulder or statue:			岩または像:
Siron ball:				鉄球:
Siron chain:				鉄の鎖:
Ssplash of venom:			毒液:
#
Sillegal objects:	奇妙な物体:
Sweapons:		武器:
Sarmor:			鎧:
Srings:			指輪:
Samulets:		魔除け:
Stools:			道具:
Sfood:			食料:
Spotions:		薬:
Sscrolls:		巻物:
Sspell books:		魔法の本:
Swands:			杖:
Scoins:			金貨:
Srocks:			石:
Slarge stones:		巨石:
Siron balls:		鉄球:
Schains:		鎖:
Svenoms:		毒:
#
Sant or other insect:	蟻または他の昆虫:
Sblob:			ブロッブ:
Scockatrice:		コカトリス:
Sdog or other canine:	犬またはイヌ科の動物:
Seye or sphere:		目または球体:
Sfeline:		猫またはネコ科の動物:
Scat or other feline:	猫またはネコ科の動物:
Sgremlin:		グレムリン:
Shumanoid:		ヒューマノイド:
Simp or minor demon:	インプまたは下級悪魔:
Sjelly:			ゼリー:
Skobold:		コボルド:
Sleprechaun:		レプラコーン:
Smimic:			ミミック:
Snymph:			ニンフ:
Sorc:			オーク:
Spiercer:		穴喰い:
Squadruped:		四足動物:
Srodent:		齧歯動物:
Sarachnid or centipede:		クモ類またはムカデ:
Strapper or lurker above:	トラッパーまたはラーカー:
Sunicorn:		ユニコーン:
Sunicorn or horse:	ユニコーンまたは馬:
Svortex:		渦:
Sworm:			ワーム:
Sxan or other mythical/fantastic insect:	ザンまたは神話やファンタジーの昆虫:
Slight:			光:
Szruty:			ズルティ:
Sangelic being:		天使のごとき存在:
Sbat:			こうもり:
Sbat or bird:		こうもりまたは鳥:
Scentaur:		ケンタウロス:
Sdragon:		ドラゴン:
Selemental:		精霊:
Sfungus or mold:	キノコまたはモールド:
Sgnome:			ノーム:
Sgiant humanoid:	巨人:
#Sinvisible stalker:	透明ストーカー:
Sjabberwock:		ジャバウォック:
SKeystone Kop:		警備員:
Slich:			リッチ:
Smummy:			ミイラ:
Snaga:			ナーガ:
Sogre:			オーガ:
Spudding or ooze:	プリンまたはウーズ:
Squantum mechanic:	量子力学:
Srust monster:		錆の怪物:
Srust monster or disenchanter:	錆の怪物または吸魔の怪物:
Ssnake:			ヘビ:
Stroll:			トロル:
Sumber hulk:		アンバーハルク:
Svampire:		吸血鬼:
Swraith:		レイス:
Sxorn:			ゾーン:
Sapelike creature:	猿のような生物:
Szombie:		ゾンビ:
Shuman:			人間:
Shuman or elf:		人間またはエルフ:
#Sranger:		レンジャー:
Sghost:			幽霊:
Sgolem:			ゴーレム:
Sdemon:			悪魔:
Smajor demon:		悪魔:
Ssea monster:		海の怪物:
Slizard:		爬虫類:
Slong worm tail:	ロングワームの尻尾:
#
#	part of room
#
Sdark part of a room:	部屋の暗い部分:
Swall:			壁:
Sdoorway:		出入口:
Sopen door:		開いた扉:
Sclosed door:		閉じた扉:
Sfloor of a room:	部屋の床:
Scorridor:		通路:
Slit corridor:		明るい通路:
Sstaircase up:		上り階段:
Sstaircase down:	下り階段:
Sladder up:		上りはしご:
Sladder down:		下りはしご:
Strap:			罠:
Sweb:			くもの巣:
Saltar:			祭壇:
Sopulent throne:	華やかな玉座:
Ssink:			流し台:
Sfountain:		泉:
Swater filled area:	水のたまった場所:
Swater:			水のたまった場所:
Sice:			氷:
Smolten lava:		溶岩:
Slowered drawbridge:	降りている跳ね橋:
Sraised drawbridge:	上っている跳ね橋:
Sair filled area:	空気のたまった場所:
Sair:			空気のたまった場所:
Scloud filled area:	曇:
Scloud:			曇:
Sgrave:			墓:
Stree:			木:
Siron bars:		鉄棒:
#
#	traps
#
^arrow trap:		矢の罠:
^dart trap:		投げ矢の罠:
^falling rock trap:	落石の罠:
^squeaky board:		きしむ板:
^beartrap:		熊の罠:
^bear trap:		熊の罠:
^land mine:		地雷:
^sleeping gas trap:	睡眠ガスの罠:
^hole:			穴:
^rust trap:		腐食の罠:
^fire trap:		火の罠:
^pit:			落し穴:
^spiked pit:		トゲだらけの落し穴:
^trapdoor:		落し扉:
^trap door:		落し扉:
^teleportation trap:	瞬間移動の罠:
^level teleporter:	別の階への瞬間移動の罠:
^magic portal:		魔法の入口:
^web:			くもの巣:
^statue trap:		彫像の罠:
^magic trap:		魔法の罠:
^anti-magic field:	反魔法空間の罠:
^anti-magic trap field:	反魔法空間の罠:
^polymorph trap:	変化の罠:
^rolling boulder trap:	巨岩の罠:
#
#	SKILLs
#
Kmartial arts:		体術:
Kbare handed combat:	素手:
Ktwo weapon combat:	二刀流:
Kriding:		騎乗:
Kdagger:		短剣:
Kaxe:			斧:
Kknife:			ナイフ:
Kpick-axe:		つるはし:
Kshort sword:		小剣:
Kbroadsword:		幅広の剣:
Klong sword:		長剣:
Ktwo-handed sword:	両手剣:
Kscimitar:		シミター:
Ksaber:			サーベル:
Kclub:			こん棒:
Kmace:			メイス:
Kquarterstaff:		六尺棒:
Kmorning star:		モーニングスター:
Kflail:			フレイル:
Khammer:		ハンマー:
Kpolearms:		長斧:
Kspear:			槍:
Kjavelin:		ジャベリン:
Ktrident:		トライデント:
Klance:			ランス:
Ksling:			スリング:
Kunicorn horn:		ユニコーンの角:
Kcrossbow:		クロスボゥ:
Kdart:			ダーツ:
Kboomerang:		ブーメラン:
Kwhip:			鞭:
Kshuriken:		手裏剣:
Kbow:			弓:
Kdivination spells:	予知:
Kattack spells:		攻撃:
Kescape spells:		脱出:
Kmatter spells:		物質:
Khealing spells:	治癒:
Kenchantment spells:	補助:
Kclerical spells:	僧侶:
